Ac_gi	Ac_ref_Tx	UniProt_db	Entry	Entry_name	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
871204375	XM_013079980.1	tr	A0A087WXK5	A0A087WXK5_HUMAN	35.43	175	106	5	804	1313	54	226	8e-09	63.2
871204384	XM_013080036.1	sp	Q6YP21	KAT3_HUMAN	50.93	430	206	3	144	1424	22	449	9e-150	467
871204766	XM_013086846.1	sp	Q03167	TGBR3_HUMAN	27.05	403	235	15	863	2029	456	813	6e-15	80.9
871204766	XM_013086846.1	sp	Q03167	TGBR3_HUMAN	25.11	231	143	6	14	649	157	376	1e-08	60.5
871204769	XM_005088813.2	sp	Q86UP6	CUZD1_HUMAN	29.55	88	59	2	1049	1312	180	264	8e-04	43.5
871204719	XM_013085752.1	sp	Q8NCE0	SEN2_HUMAN	47.85	186	87	3	5377	5934	287	462	1e-48	184
871204719	XM_013085752.1	sp	Q8NCE0	SEN2_HUMAN	38.67	75	42	3	427	651	8	78	2e-04	47.0
871204387	XM_013080070.1	tr	J3KPR9	J3KPR9_HUMAN	25.25	305	183	6	430	1227	112	410	2e-17	86.3
524864065	XM_005088814.1	sp	P14927	QCR7_HUMAN	37.93	116	65	2	50	397	3	111	6e-20	84.0
871204391	XM_013080181.1	sp	Q9H2Y9	SO5A1_HUMAN	25.77	485	301	8	1547	2824	262	746	4e-34	142
871204391	XM_013080181.1	sp	Q9H2Y9	SO5A1_HUMAN	38.24	68	42	0	479	682	148	215	2e-06	53.1
325297133	NM_001204647.1	sp	Q96RD6	PANX2_HUMAN	23.12	186	125	6	118	654	61	235	9e-04	42.7
871204395	XM_005088815.2	sp	Q9Y6R1	S4A4_HUMAN	41.77	960	492	16	427	3252	97	1007	0.0	665
871204403	XM_013080322.1	sp	Q9Y6R1	S4A4_HUMAN	41.83	961	489	17	427	3249	97	1007	0.0	666
871204400	XM_013080274.1	sp	Q9Y6R1	S4A4_HUMAN	41.77	960	492	16	322	3147	97	1007	0.0	665
871204406	XM_013080370.1	sp	Q13231	CHIT1_HUMAN	36.87	396	226	6	407	1561	6	388	8e-80	265
871204410	XM_005088817.2	tr	K7EKF8	K7EKF8_HUMAN	38.40	125	70	4	3151	3513	3	124	9e-21	94.7
871204418	XM_005088822.2	sp	P55786	PSA_HUMAN	58.40	863	350	6	253	2817	48	909	0.0	992
871204413	XM_005088819.2	sp	P55786	PSA_HUMAN	58.40	863	350	6	178	2742	48	909	0.0	990
871204416	XM_005088820.2	sp	P55786	PSA_HUMAN	58.40	863	350	6	855	3419	48	909	0.0	992
871204424	XM_005088821.2	sp	P55786	PSA_HUMAN	58.40	863	350	6	468	3032	48	909	0.0	993
871204426	XM_013080594.1	sp	P55786	PSA_HUMAN	58.40	863	350	6	133	2697	48	909	0.0	991
871204429	XM_005088824.2	sp	O75382	TRIM3_HUMAN	23.55	259	160	7	1248	1979	15	250	2e-13	76.3
871204436	XM_005088826.2	sp	Q9C040	TRIM2_HUMAN	23.42	269	159	8	738	1493	15	253	2e-15	82.4
871204439	XM_005088827.2	sp	Q9C040	TRIM2_HUMAN	23.42	269	159	8	307	1062	15	253	3e-15	81.6
871204431	XM_005088825.2	sp	Q9C040	TRIM2_HUMAN	23.42	269	159	8	286	1041	15	253	2e-15	82.4
871204441	XM_005088828.2	sp	O00472	ELL2_HUMAN	43.35	173	82	5	836	1333	195	358	2e-26	117
871204441	XM_005088828.2	sp	O00472	ELL2_HUMAN	40.60	133	75	2	1313	1699	502	634	9e-24	109
871204441	XM_005088828.2	sp	O00472	ELL2_HUMAN	39.88	168	94	4	77	568	9	173	3e-23	107
871204443	XM_005088829.2	sp	Q05823	RN5A_HUMAN	25.11	219	123	7	554	1147	38	236	4e-05	50.4
871204445	XM_005088830.2	sp	Q05823	RN5A_HUMAN	25.11	219	123	7	462	1055	38	236	3e-05	50.8
871204447	XM_005088832.2	sp	P62304	RUXE_HUMAN	85.06	87	13	0	92	352	1	87	5e-49	161
871204449	XM_005088923.2	sp	Q96BA8	CR3L1_HUMAN	60.00	150	54	2	969	1400	243	392	6e-32	134
871204449	XM_005088923.2	sp	Q96BA8	CR3L1_HUMAN	34.65	101	59	2	228	518	29	126	3e-04	46.6
871204728	XM_005088924.2	sp	P06858	LIPL_HUMAN	28.24	255	130	8	175	810	58	302	2e-17	86.3
871204730	XM_013086000.1	tr	Q96B60	Q96B60_HUMAN	46.72	244	119	5	490	1200	12	251	2e-57	197
871204452	XM_013081088.1	tr	H7BXX0	H7BXX0_HUMAN	22.94	279	173	12	984	1733	1049	1314	7e-06	52.8
871204455	XM_005088833.2	tr	H7BXX0	H7BXX0_HUMAN	22.94	279	173	12	984	1733	1049	1314	5e-06	53.1
871204468	XM_005088837.2	sp	P40305	IFI27_HUMAN	32.05	78	49	1	245	466	40	117	8e-04	40.0
871204470	XM_005088836.2	sp	P40305	IFI27_HUMAN	30.86	81	52	1	738	968	33	113	9e-05	43.1
871204472	XM_013081419.1	sp	P40305	IFI27_HUMAN	30.86	81	52	1	615	845	33	113	7e-05	43.1
871204475	XM_005088838.2	sp	P05090	APOD_HUMAN	38.15	173	93	6	253	768	27	186	5e-36	132
871204502	XM_013081818.1	sp	Q8TE73	DYH5_HUMAN	63.25	4610	1616	14	808	14412	18	4624	0.0	5803
871204507	XR_001184784.1	sp	O60563	CCNT1_HUMAN	40.00	50	29	1	213	359	308	357	3e-04	40.4
871204509	XM_005088840.2	sp	Q9UMY4	SNX12_HUMAN	72.78	169	45	1	308	814	4	171	1e-71	239
871204511	XM_005088843.2	sp	Q9BUN5	CC28B_HUMAN	42.20	109	54	1	312	611	78	186	2e-18	84.3
871204734	XM_013086136.1	tr	E9PG22	E9PG22_HUMAN	55.86	256	113	0	25	792	40	295	4e-76	275
871204734	XM_013086136.1	tr	E9PG22	E9PG22_HUMAN	39.74	78	47	0	2311	2544	500	577	2e-10	67.0
871204513	XM_005088846.2	sp	P83731	RL24_HUMAN	62.42	157	56	1	16	477	1	157	7e-50	162
871204515	XM_005088847.2	sp	Q8NCJ5	SPRY3_HUMAN	26.54	211	133	8	880	1476	72	272	2e-07	56.6
871204515	XM_005088847.2	sp	Q8NCJ5	SPRY3_HUMAN	30.16	126	84	3	2017	2388	72	195	4e-07	56.2
871204515	XM_005088847.2	sp	Q8NCJ5	SPRY3_HUMAN	32.50	80	53	1	2005	2244	248	326	3e-05	50.1
871204520	XM_013082193.1	sp	Q969J3	BORC5_HUMAN	48.60	179	83	3	241	762	20	194	4e-44	161
871204523	XM_005088849.2	sp	Q969J3	BORC5_HUMAN	48.60	179	83	3	226	747	20	194	3e-44	161
871204526	XM_005088850.2	sp	Q149N8	SHPRH_HUMAN	44.89	1047	544	12	2309	5401	646	1675	0.0	898
871204526	XM_005088850.2	sp	Q149N8	SHPRH_HUMAN	26.04	434	254	13	224	1438	1	396	7e-20	98.6
871204528	XM_005088851.2	sp	Q13505	MTX1_HUMAN	45.02	311	161	3	19	945	142	444	4e-64	220
871204534	XM_005088932.2	sp	Q96M20	CNBD2_HUMAN	28.14	199	141	1	1061	1651	96	294	3e-18	89.7
871204540	XM_005088855.2	sp	P35858	ALS_HUMAN	25.48	518	317	13	227	1615	39	542	9e-24	107
871204544	XM_005088854.2	sp	Q8WVJ9	TWST2_HUMAN	88.54	96	10	1	1115	1402	61	155	1e-51	177
871204542	XM_005088853.2	sp	Q8WVJ9	TWST2_HUMAN	88.54	96	10	1	1230	1517	61	155	2e-51	177
871204546	XM_005088856.2	sp	Q96MT7	CFA44_HUMAN	32.69	1355	791	28	656	4525	129	1427	0.0	641
871204550	XM_005088858.2	tr	H7BY00	H7BY00_HUMAN	78.64	103	20	1	751	1059	33	133	2e-47	169
871204552	XM_005088859.2	tr	H7BY00	H7BY00_HUMAN	78.64	103	20	1	790	1098	33	133	2e-47	169
871204548	XM_005088857.2	tr	H7BY00	H7BY00_HUMAN	78.64	103	20	1	708	1016	33	133	2e-47	169
524864159	XM_005088861.1	sp	Q8WWM9	CYGB_HUMAN	33.33	93	61	1	160	435	22	114	2e-08	54.7
871204555	XM_005088865.2	sp	Q8WWM9	CYGB_HUMAN	33.70	92	60	1	138	410	22	113	1e-07	52.8
871204745	XM_013086298.1	sp	Q96NT5	PCFT_HUMAN	26.16	432	291	8	452	1693	33	454	5e-30	124
325296904	NM_001204557.1	tr	A0A0X1KG79	A0A0X1KG79_HUMAN	41.45	509	264	8	175	1683	19	499	3e-110	346
526117318	NM_001280809.1	tr	A0A0X1KG79	A0A0X1KG79_HUMAN	42.39	493	252	7	185	1642	32	499	3e-116	360
325296926	NM_001204560.1	tr	A0A0X1KG79	A0A0X1KG79_HUMAN	50.00	484	223	4	394	1842	34	499	5e-134	413
871204218	XM_013089342.1	tr	A0A0X1KG79	A0A0X1KG79_HUMAN	49.39	494	221	5	357	1835	34	499	2e-125	405
871204221	XM_013091407.1	tr	A0A0X1KG79	A0A0X1KG79_HUMAN	48.99	494	223	5	357	1835	34	499	5e-125	404
871204224	XM_013079247.1	tr	A0A0X1KG79	A0A0X1KG79_HUMAN	50.00	484	223	4	357	1805	34	499	3e-128	413
871204227	XM_013079582.1	tr	A0A0X1KG79	A0A0X1KG79_HUMAN	49.56	452	209	4	357	1709	34	467	2e-111	365
871204558	XM_005088866.2	sp	Q14162	SREC_HUMAN	32.46	305	179	16	139	1017	94	383	4e-24	110
871204558	XM_005088866.2	sp	Q14162	SREC_HUMAN	32.61	184	89	9	379	846	239	415	1e-14	79.3
871204558	XM_005088866.2	sp	Q14162	SREC_HUMAN	25.45	224	88	8	565	1014	76	294	1e-06	53.9
871204231	XM_013080948.1	sp	P32297	ACHA3_HUMAN	44.21	484	222	6	1993	3363	34	496	6e-117	382
871204235	XM_013081277.1	sp	P32297	ACHA3_HUMAN	44.21	484	222	6	830	2200	34	496	2e-118	382
526117390	NM_001280828.1	sp	P32297	ACHA3_HUMAN	44.21	484	222	6	160	1530	34	496	2e-125	382
871204560	XM_005088868.2	sp	Q2NKJ3	CTC1_HUMAN	23.13	441	269	12	1962	3203	806	1203	4e-16	85.9
871204562	XM_013083029.1	sp	Q2NKJ3	CTC1_HUMAN	23.13	441	269	12	2139	3380	806	1203	4e-16	85.9
871204565	XM_005088869.2	sp	A5D8W1	CFA69_HUMAN	46.17	888	463	7	209	2869	25	898	0.0	788
871204568	XM_005088870.2	sp	A5D8W1	CFA69_HUMAN	46.00	887	465	7	209	2866	25	898	0.0	786
871204571	XM_005088871.2	sp	A5D8W1	CFA69_HUMAN	46.49	882	463	6	209	2851	25	898	0.0	795
871204573	XM_005088872.2	tr	J3QSD7	J3QSD7_HUMAN	58.86	474	177	5	2445	3860	699	1156	8e-170	561
871204575	XM_005088873.2	sp	P49441	INPP_HUMAN	40.45	356	182	7	331	1344	45	388	5e-68	229
871204578	XM_005088874.2	sp	P49441	INPP_HUMAN	40.45	356	182	7	297	1310	45	388	4e-68	229
871204580	XM_013083309.1	sp	P49441	INPP_HUMAN	40.45	356	182	7	418	1431	45	388	9e-68	229
871204594	XM_005088878.2	sp	P11233	RALA_HUMAN	83.52	182	30	0	88	633	2	183	6e-97	315
871204586	XM_005088875.2	sp	P11233	RALA_HUMAN	83.52	182	30	0	215	760	2	183	7e-97	315
871204588	XM_005088876.2	sp	P11233	RALA_HUMAN	83.52	182	30	0	320	865	2	183	7e-97	315
871204589	XM_013083474.1	sp	P11233	RALA_HUMAN	83.52	182	30	0	49	594	2	183	1e-96	314
871204592	XM_005088877.2	sp	P11233	RALA_HUMAN	83.52	182	30	0	117	662	2	183	6e-97	315
871204583	XM_005088936.2	sp	Q15648	MED1_HUMAN	36.12	490	288	12	312	1727	18	500	1e-80	280
871204748	XM_005088937.2	sp	Q9UBU7	DBF4A_HUMAN	24.48	339	192	9	341	1318	45	332	1e-12	73.9
871204596	XM_005088879.2	sp	Q6RFH5	WDR74_HUMAN	35.67	328	195	5	836	1819	11	322	1e-63	221
871204773	XM_005088880.2	sp	Q9UH77	KLHL3_HUMAN	29.92	528	345	9	314	1891	40	544	3e-55	202
871204776	XM_013086989.1	sp	Q9Y4C4	MFHA1_HUMAN	29.90	204	129	5	267	872	118	309	2e-11	68.6
871204776	XM_013086989.1	sp	Q9Y4C4	MFHA1_HUMAN	30.39	181	111	6	309	839	57	226	2e-05	48.9
871204601	XM_013083673.1	sp	Q9UJX2	CDC23_HUMAN	53.03	577	260	6	101	1819	28	597	0.0	590
871204604	XM_005088882.2	sp	Q9H977	WDR54_HUMAN	42.39	335	175	8	157	1119	1	331	7e-83	268
871204607	XM_005088883.2	sp	P52954	LBX1_HUMAN	67.67	133	43	0	1356	1754	80	212	6e-49	179
871204610	XM_005088884.2	sp	Q8IV33	K0825_HUMAN	22.94	924	580	24	455	3160	21	834	4e-55	213
871204610	XM_005088884.2	sp	Q8IV33	K0825_HUMAN	28.19	149	95	4	4166	4597	1119	1260	5e-07	56.2
526117450	NM_001280843.1	sp	P36544	ACHA7_HUMAN	42.15	344	193	2	155	1186	26	363	2e-93	299
871204753	XM_013086454.1	tr	S4R3S5	S4R3S5_HUMAN	46.50	157	82	2	3172	3639	133	288	1e-30	127
871204623	XM_013084103.1	sp	P98161	PKD1_HUMAN	24.46	781	482	27	4328	6613	1722	2413	1e-32	141
871204623	XM_013084103.1	sp	P98161	PKD1_HUMAN	22.95	475	307	13	4301	5710	1376	1796	2e-17	91.3
871204623	XM_013084103.1	sp	P98161	PKD1_HUMAN	23.78	328	203	11	4832	5725	901	1211	7e-13	75.9
871204623	XM_013084103.1	sp	P98161	PKD1_HUMAN	24.85	326	202	10	4829	5722	985	1295	5e-12	73.2
871204623	XM_013084103.1	sp	P98161	PKD1_HUMAN	21.60	699	442	25	3716	5725	926	1547	2e-11	71.2
871204623	XM_013084103.1	sp	P98161	PKD1_HUMAN	22.15	289	197	9	2087	2923	1597	1867	1e-06	55.5
871204623	XM_013084103.1	sp	P98161	PKD1_HUMAN	25.44	283	182	8	2306	3136	1749	2008	2e-05	51.2
871204619	XM_005088889.2	sp	Q8TDX9	PK1L1_HUMAN	25.68	697	432	20	1221	3278	1352	1973	3e-60	233
871204619	XM_005088889.2	sp	Q8TDX9	PK1L1_HUMAN	26.29	715	465	16	3858	5900	2127	2813	3e-51	202
871204619	XM_005088889.2	sp	Q8TDX9	PK1L1_HUMAN	26.90	145	100	1	396	830	1147	1285	2e-10	68.2
871204779	XR_001185179.1	tr	H0YCQ2	H0YCQ2_HUMAN	49.21	63	30	2	48	236	14	74	1e-08	55.5
871204632	XM_013084241.1	sp	Q9NQW7	XPP1_HUMAN	54.62	617	266	5	146	1957	4	619	0.0	687
871204627	XM_013084166.1	sp	Q9NQW7	XPP1_HUMAN	54.62	617	266	5	289	2100	4	619	0.0	686
871204630	XM_005088890.2	sp	Q9NQW7	XPP1_HUMAN	54.62	617	266	5	62	1873	4	619	0.0	686
871204637	XM_005088892.2	sp	Q13057	COASY_HUMAN	38.74	555	312	8	51	1640	5	556	1e-109	360
871204635	XM_005088891.2	sp	Q13057	COASY_HUMAN	38.74	555	312	8	145	1734	5	556	1e-109	360
871204639	XM_005088893.2	sp	Q13057	COASY_HUMAN	36.05	466	266	9	145	1455	5	467	3e-77	257
871204641	XM_013084432.1	sp	Q96M20	CNBD2_HUMAN	30.49	223	143	4	2084	2737	83	298	6e-19	93.6
871204649	XM_005088894.2	sp	P50443	S26A2_HUMAN	30.45	683	410	13	1259	3265	86	717	7e-85	295
871204654	XM_005088895.2	sp	P50443	S26A2_HUMAN	30.45	683	410	13	541	2547	86	717	3e-85	295
871204651	XM_013084558.1	sp	P50443	S26A2_HUMAN	30.45	683	410	13	296	2302	86	717	8e-86	296
871204656	XM_013084660.1	tr	E9PCM2	E9PCM2_HUMAN	29.88	569	349	8	103	1686	114	673	2e-72	261
871204659	XM_013084720.1	sp	Q9UIA9	XPO7_HUMAN	74.00	1096	271	9	26	3298	1	1087	0.0	1638
871204662	XM_013084753.1	sp	Q9UIA9	XPO7_HUMAN	74.20	1093	271	8	26	3289	1	1087	0.0	1644
524864237	XM_005088899.1	sp	Q8NFP4	MDGA1_HUMAN	43.44	122	62	4	1	354	803	921	2e-20	99.0
871204673	XM_005088900.2	tr	Q5RGS4	Q5RGS4_HUMAN	41.39	302	155	5	280	1173	1	284	5e-62	221
871204675	XM_013085010.1	sp	O60494	CUBN_HUMAN	29.55	132	80	4	329	691	1145	1274	3e-06	50.1
871204675	XM_013085010.1	sp	O60494	CUBN_HUMAN	27.08	96	68	1	359	646	3514	3607	2e-05	47.4
871204675	XM_013085010.1	sp	O60494	CUBN_HUMAN	28.92	83	59	0	389	637	2463	2545	4e-05	46.6
871204675	XM_013085010.1	sp	O60494	CUBN_HUMAN	38.71	62	38	0	362	547	1282	1343	1e-04	45.1
871204675	XM_013085010.1	sp	O60494	CUBN_HUMAN	37.29	59	36	1	386	559	1748	1806	1e-04	44.7
871204675	XM_013085010.1	sp	O60494	CUBN_HUMAN	24.79	117	85	3	344	691	2217	2331	6e-04	42.7
871204678	XM_013085062.1	sp	P46100	ATRX_HUMAN	58.82	425	164	6	4298	5545	1477	1899	3e-137	485
871204678	XM_013085062.1	sp	P46100	ATRX_HUMAN	59.11	269	97	2	5840	6631	2001	2261	3e-89	328
871204678	XM_013085062.1	sp	P46100	ATRX_HUMAN	50.93	108	52	1	455	775	169	276	1e-32	142
871204684	XM_013085149.1	sp	Q8WTV0	SCRB1_HUMAN	31.31	313	188	8	1926	2822	14	313	1e-36	149
871204684	XM_013085149.1	sp	Q8WTV0	SCRB1_HUMAN	32.76	116	71	2	3159	3491	319	432	2e-13	76.3
871204681	XM_005088951.2	sp	Q8WTV0	SCRB1_HUMAN	31.31	313	188	8	1928	2824	14	313	1e-36	149
871204681	XM_005088951.2	sp	Q8WTV0	SCRB1_HUMAN	32.76	116	71	2	3161	3493	319	432	2e-13	76.3
871205160	XM_005088959.2	sp	Q9UIK4	DAPK2_HUMAN	53.44	320	146	2	190	1140	14	333	8e-118	358
871205157	XM_005088958.2	sp	Q9UIK4	DAPK2_HUMAN	53.44	320	146	2	349	1299	14	333	4e-117	358
871205153	XM_005088957.2	sp	Q9UIK4	DAPK2_HUMAN	53.44	320	146	2	436	1386	14	333	8e-117	358
871205150	XM_013091485.1	sp	Q9UIK4	DAPK2_HUMAN	53.44	320	146	2	1561	2511	14	333	4e-113	358
871204781	XM_013087107.1	sp	Q9NXF1	TEX10_HUMAN	22.71	621	409	19	393	2159	47	628	4e-28	124
871204786	XM_013087159.1	sp	Q86WI1	PKHL1_HUMAN	36.16	4223	2458	92	143	12346	30	4169	0.0	2252
871204789	XM_005088961.2	sp	Q99853	FOXB1_HUMAN	89.00	100	11	0	459	758	1	100	6e-58	202
871204791	XM_013087234.1	sp	Q99853	FOXB1_HUMAN	89.00	100	11	0	234	533	1	100	2e-58	202
871205166	XM_005089058.2	sp	Q6P093	ADCL2_HUMAN	24.77	327	177	14	229	1020	59	379	2e-10	63.9
871204807	XM_005088962.2	sp	Q9BU70	TRMO_HUMAN	59.31	145	59	0	387	821	23	167	6e-56	201
871204807	XM_005088962.2	sp	Q9BU70	TRMO_HUMAN	38.46	104	62	2	1614	1925	323	424	1e-16	84.3
871204797	XM_005088964.2	sp	Q9NVE4	CCD87_HUMAN	44.74	152	78	2	2861	3307	681	829	2e-29	128
871204797	XM_005088964.2	sp	Q9NVE4	CCD87_HUMAN	24.18	244	129	5	1700	2413	423	616	8e-15	80.9
871204794	XM_005088963.2	sp	Q9NVE4	CCD87_HUMAN	44.74	152	78	2	3001	3447	681	829	2e-29	128
871204794	XM_005088963.2	sp	Q9NVE4	CCD87_HUMAN	24.18	244	129	5	1840	2553	423	616	8e-15	80.9
871204799	XM_013087347.1	sp	Q9NVE4	CCD87_HUMAN	44.74	152	78	2	2989	3435	681	829	2e-29	128
871204799	XM_013087347.1	sp	Q9NVE4	CCD87_HUMAN	24.58	240	129	4	1840	2541	423	616	2e-16	86.3
871204802	XM_005088965.2	sp	Q9NVE4	CCD87_HUMAN	44.74	152	78	2	2953	3399	681	829	2e-29	128
871204802	XM_005088965.2	sp	Q9NVE4	CCD87_HUMAN	24.18	244	129	5	1792	2505	423	616	8e-15	81.3
871204804	XM_013087435.1	sp	Q9NVE4	CCD87_HUMAN	44.74	152	78	2	2941	3387	681	829	2e-29	128
871204804	XM_013087435.1	sp	Q9NVE4	CCD87_HUMAN	24.58	240	129	4	1792	2493	423	616	2e-16	86.3
871204809	XM_005088966.2	sp	O43614	OX2R_HUMAN	30.77	364	212	12	1562	2623	48	381	8e-26	114
871204812	XM_005088967.2	sp	O43614	OX2R_HUMAN	31.37	357	212	11	1562	2602	48	381	5e-28	120
871204817	XM_005088973.2	sp	Q9H8M1	CQ10B_HUMAN	62.94	170	55	2	265	768	61	224	2e-65	224
871204831	XM_005088975.2	sp	Q8N3I7	BBS5_HUMAN	73.16	339	91	0	38	1054	3	341	0.0	555
871204838	XM_013088031.1	sp	Q9BUQ8	DDX23_HUMAN	70.36	668	188	3	1087	3087	161	819	0.0	922
871204833	XM_005088976.2	sp	Q9BUQ8	DDX23_HUMAN	70.36	668	188	3	1077	3077	161	819	0.0	922
871204841	XM_013088059.1	sp	Q9BUQ8	DDX23_HUMAN	70.36	668	188	3	411	2411	161	819	0.0	922
871204835	XM_013088001.1	sp	Q9BUQ8	DDX23_HUMAN	70.36	668	188	3	488	2488	161	819	0.0	922
871204844	XM_013088090.1	sp	Q9BUQ8	DDX23_HUMAN	70.36	668	188	3	496	2496	161	819	0.0	922
871204849	XM_005088978.2	sp	A8MTZ0	BBIP1_HUMAN	51.56	64	29	1	592	777	22	85	1e-12	66.6
871204847	XM_005088979.2	sp	Q9Y4X5	ARI1_HUMAN	31.40	242	127	8	1966	2673	174	382	5e-27	118
