rna0;XM_005088767.1
rna110;XM_005088843.2
rna111;XM_013086136.1
rna112;XM_005088846.2
rna113;XM_005088847.2
rna114;XM_013082125.1
rna115;XM_013086189.1
rna116;XM_013082193.1
rna117;XM_005088849.2
rna118;XM_005088850.2
rna119;XM_013086249.1
rna120;XM_005088851.2
rna121;XM_013082376.1
rna122;XM_005088932.2
rna123;XM_013082487.1
rna124;XM_005088855.2
rna125;XM_005088854.2
rna126;XM_005088853.2
rna127;XM_005088856.2
rna128;XM_005088858.2
rna129;XM_005088859.2
rna130;XM_005088857.2
rna131;XM_005088861.1
rna132;XM_005088865.2
rna133;XM_013086298.1
rna134;NM_001204557.1
rna135;NM_001280809.1
rna136;NM_001204560.1
rna137;XM_013089342.1
rna138;XM_013091407.1
rna139;XM_013079247.1
rna140;XM_013079582.1
rna141;XM_005088866.2
rna142;XM_013080948.1
rna143;XM_013081277.1
rna144;NM_001280828.1
rna145;XM_005088868.2
rna146;XM_013083029.1
rna147;XM_005088869.2
rna148;XM_005088870.2
rna149;XM_005088871.2
rna150;XM_005088872.2
rna151;XM_005088873.2
rna152;XM_005088874.2
rna153;XM_013083309.1
rna154;XM_005088878.2
rna155;XM_005088875.2
rna156;XM_005088876.2
rna157;XM_013083474.1
rna158;XM_005088877.2
rna159;XM_005088936.2
rna160;XM_005088937.2
rna161;XM_005088879.2
rna162;XM_005088880.2
rna163;XM_013083624.1
rna164;XM_013086989.1
rna165;XM_013086405.1
rna166;XM_013083673.1
rna167;XM_005088882.2
rna168;XM_005088883.2
rna169;XM_005088884.2
rna170;XM_005088885.2
rna171;NM_001280843.1
rna172;XM_005088887.2
rna173;XM_013086454.1
rna174;XM_013084103.1
rna175;XM_005088889.2
rna177;XM_013086503.1
rna178;XM_005088945.1
rna179;XM_013084241.1
rna180;XM_013084166.1
rna181;XM_005088890.2
rna182;XM_005088892.2
rna183;XM_005088891.2
rna184;XM_005088893.2
rna185;XM_013084432.1
rna187;XM_005088894.2
rna188;XM_005088895.2
rna189;XM_013084558.1
rna190;XM_013084660.1
rna191;XM_013084720.1
rna192;XM_013084753.1
rna193;XM_013084858.1
rna194;XM_005088948.2
rna195;XM_005088899.1
rna196;XM_005088900.2
rna197;XM_013085010.1
rna198;XM_013085062.1
rna199;XM_013085149.1
rna200;XM_005088951.2
rna201;XM_005088902.2
rna202;XM_013086617.1
rna203;XM_013085249.1
rna205;XM_013085316.1
rna206;XM_005088956.2
rna207;XM_005088959.2
rna208;XM_005088958.2
rna209;XM_005088957.2
rna210;XM_013091485.1
rna211;XM_013087107.1
rna212;XM_013087159.1
rna213;XM_005088961.2
rna214;XM_013087234.1
rna215;XM_013091502.1
rna216;XM_005089058.2
rna217;XM_005088962.2
rna218;XM_005088964.2
rna219;XM_005088963.2
rna220;XM_013087347.1
rna221;XM_005088965.2
rna222;XM_013087435.1
rna223;XM_005088966.2
rna224;XM_005088967.2
rna225;XM_013087635.1
rna226;XM_005088969.2
rna227;XM_013087724.1
rna228;XM_013087802.1
rna229;XM_005088973.2
rna230;XM_013087855.1
rna231;XM_005088975.2
rna232;XM_013088031.1
rna233;XM_005088976.2
rna234;XM_013088059.1
rna235;XM_013088001.1
rna236;XM_013088090.1
rna237;XM_005088978.2
rna238;XM_005088979.2
rna239;XM_005088980.2
rna240;XM_013091514.1
rna241;XM_005088981.2
rna242;XM_013091400.1
rna243;XM_005089060.1
rna244;XM_013088350.1
rna245;XM_005089062.2
rna246;XM_013091415.1
rna247;XM_005089065.2
rna248;XM_005089066.2
rna249;XM_013088437.1
rna250;XM_005088983.2
rna251;XM_005089068.2
rna252;XM_005089069.2
rna253;XM_005088984.2
rna254;XM_005088985.2
rna255;XM_013088620.1
rna256;XM_013088574.1
rna257;XM_013088919.1
rna258;XM_005088994.2
rna259;XM_005088997.2
rna260;XM_005088993.2
rna261;XM_005088996.2
rna262;XM_005088992.2
rna263;XM_013088891.1
rna264;XM_005088995.2
rna265;XM_005088998.2
rna266;XM_013089017.1
rna267;XM_005088999.2
rna268;XM_013089104.1
rna269;XM_005089000.2
rna270;XM_013089234.1
rna271;XM_013089203.1
rna272;XM_013089168.1
rna273;XM_013089283.1
rna274;XM_013089509.1
rna275;XM_013089466.1
rna276;XM_013089423.1
rna277;XM_013089383.1
rna278;XM_005089003.2
rna279;XM_005089004.2
rna280;XM_013091429.1
rna281;XM_013089681.1
rna282;XM_013089626.1
rna283;XM_013089740.1
rna284;XM_013091439.1
rna285;XM_005089005.2
rna286;XM_013089841.1
rna287;XM_013089896.1
rna288;XM_005089007.2
rna289;XM_005089008.2
rna290;XM_005089009.2
rna291;XM_013090097.1
rna292;XM_013090154.1
rna293;XM_013090204.1
rna294;XM_005089010.2
rna295;XM_005089075.2
rna296;XM_013091447.1
rna297;XM_013091454.1
rna298;XM_013090273.1
rna299;XM_005089011.2
rna300;XM_005089012.2
rna301;XM_005089013.2
rna302;XM_013090483.1
rna303;XM_005089014.2
rna304;XM_005089015.2
rna305;XM_005089016.2
rna306;XM_013091457.1
rna307;XM_005089018.2
rna308;XM_013090741.1
rna309;XM_013090838.1
rna310;XM_005089019.2
rna311;XM_013090771.1
rna312;XM_013090957.1
rna313;XM_013090918.1
rna314;XM_013090878.1
rna315;XM_013091528.1
rna316;XM_005089021.2
rna317;XM_005089020.2
rna318;XM_005089022.2
rna320;XM_005089026.2
rna321;XM_005089025.2
rna322;XM_005089023.2
rna323;XM_005089027.2
rna324;XM_013091255.1
rna325;XM_005089029.2
rna326;XM_005089028.1
rna327;XM_013091270.1
rna328;XM_005089030.2
rna329;XM_013091464.1
rna330;XM_005089080.2
rna331;XM_013091277.1
rna332;XM_013091282.1
rna333;XM_013091532.1
rna334;XM_005089031.1
rna335;XM_005089032.2
rna336;XM_005089033.2
rna337;XM_005089034.2
rna338;XM_005089035.2
rna339;XM_005089037.2
rna340;XM_013091474.1
rna341;XM_005089042.2
rna342;XM_005089041.2
rna343;XM_005089043.2
rna344;XM_005089044.2
rna345;XM_005089045.2
rna346;XM_013091329.1
rna347;XM_005089046.2
rna348;XM_005089047.2
rna349;XM_013091340.1
rna350;XM_005089050.2
rna351;XM_005089048.2
rna353;XM_005089049.2
rna354;XM_005089052.2
rna355;XM_013091366.1
rna356;XM_013091373.1
rna357;XM_005089084.2
rna358;NM_001280850.1
rna359;XM_013091382.1
rna360;XM_005089054.2
rna361;XM_005089055.2
rna362;XM_005089056.2
rna363;XM_005089087.2
rna364;XM_005089088.2
rna365;XM_005089089.2
rna366;XM_013079466.1
rna367;XM_013091555.1
rna368;XM_005089090.2
rna369;XM_013079101.1
rna370;XM_005089146.2
rna371;XM_005089091.2
rna372;XM_013079363.1
rna373;XM_013079370.1
rna374;XM_005089092.1
rna375;XM_005089093.2
rna376;XM_005089094.2
rna377;XM_013079130.1
rna378;XM_013079377.1
rna379;XM_013079485.1
rna380;XM_013079483.1
rna381;XM_013079488.1
rna382;XM_013079490.1
rna383;XM_013079472.1
rna384;XM_013079476.1
rna385;XM_013079381.1
rna386;XM_005089095.2
rna387;XM_005089096.2
rna388;XM_013079389.1
rna389;XM_013079147.1
rna390;NM_001204731.1
rna391;XM_005089097.1
rna392;XM_005089098.2
rna393;XM_005089103.2
rna395;XM_013079396.1
rna396;XM_013079164.1
rna397;XM_005089106.2
rna398;XM_005089105.2
rna399;XM_013079174.1
rna400;XM_013079400.1
rna402;XM_005089107.2
rna403;XM_013079498.1
rna404;XM_013079503.1
rna405;XM_013079408.1
rna406;XM_005089109.2
rna407;XM_005089108.1
rna408;XM_005089110.2
rna409;XM_005089112.2
rna410;XM_005089111.2
rna411;XM_013079417.1
rna412;XM_013079421.1
rna413;XM_013079199.1
rna414;XM_005089155.2
rna415;XM_013079202.1
rna416;XM_005089116.2
rna417;XM_013079510.1
rna418;XM_013079514.1
rna419;XM_005089117.2
rna420;XM_005089118.2
rna421;XM_005089119.2
rna422;XM_005089120.2
rna423;XM_013079432.1
rna424;XM_005089121.2
rna425;XM_005089159.2
rna426;XM_013079439.1
rna427;XM_005089122.2
rna428;XM_005089123.1
rna429;XM_013079442.1
rna430;XM_013079234.1
rna431;XM_005089163.2
rna432;XM_005089164.1
rna433;XM_013079244.1
rna434;XM_005089124.2
rna435;XM_005089125.2
rna437;XM_005089126.2
rna438;XM_005089128.2
rna439;XM_005089130.2
rna440;XM_005089127.2
rna441;XM_005089131.2
rna442;XM_005089132.2
rna443;XM_005089134.2
rna444;XM_005089135.2
rna445;XM_013079292.1
rna446;XM_005089137.2
rna447;XM_013079288.1
rna448;XM_005089136.2
rna449;XM_005089138.2
rna450;XM_013079454.1
rna451;XM_005089139.2
rna452;XM_005089167.2
rna453;XM_013079311.1
rna454;XM_013079523.1
rna455;XM_013079525.1
rna458;XM_005089140.2
rna466;XM_013079322.1
rna467;XM_005089141.2
rna468;XM_013079459.1
rna469;XM_013079331.1
rna470;XM_005089142.2
rna471;XM_005089143.2
rna472;XM_013079355.1
rna473;XM_005089281.2
rna474;XM_005089176.2
rna475;XM_005089177.2
rna476;XM_013079578.1
rna477;XM_005089178.2
rna478;XM_005089282.2
rna479;XM_013079583.1
rna480;XM_005089182.2
rna481;XM_005089181.2
rna482;XM_005089183.2
rna483;XM_013079600.1
rna484;XM_013079616.1
rna485;XM_013079608.1
rna486;XM_013079624.1
rna487;XM_005089184.2
rna488;XM_013079625.1
rna489;XM_005089188.2
rna490;XM_013079612.1
rna491;XM_013079632.1
rna492;XM_005089190.2
rna493;XM_005089189.2
rna494;XM_005089191.2
rna495;XM_013079647.1
rna496;XM_005089197.2
rna497;XM_005089194.2
rna498;XM_005089198.2
rna499;XM_005089196.2
rna501;XM_013080065.1
rna502;XM_013079677.1
rna503;XM_013079681.1
rna504;XM_005089199.2
rna505;XM_013079693.1
rna506;XM_005089201.2
rna507;XM_013079694.1
rna508;XM_005089202.2
rna509;XM_005089204.2
rna510;XM_005089206.2
rna511;XM_005089205.2
rna512;XM_005089216.2
rna513;XM_005089213.2
rna514;XM_005089209.2
rna515;XM_005089215.2
rna516;XM_005089214.2
rna517;XM_005089212.2
rna518;XM_005089211.2
rna519;XM_005089210.2
rna520;XM_005089217.2
rna521;XM_013080049.1
rna522;XM_005089219.2
rna523;XM_005089220.2
rna524;XM_013079755.1
rna525;XM_005089291.2
rna526;XM_013079766.1
rna527;XM_013079777.1
rna528;XM_005089223.2
rna529;XM_013080053.1
rna530;XM_013080072.1
rna531;XM_005089224.2
rna532;XM_005089228.2
rna533;XM_005089229.2
rna534;XM_013079790.1
rna535;XM_013079794.1
rna536;XM_013079798.1
rna537;XM_005089230.2
rna538;XM_005089231.2
rna539;XM_005089232.2
rna540;XM_013079812.1
rna541;XM_013080077.1
rna542;XM_005089233.2
rna543;XM_013080083.1
rna544;XM_013079822.1
rna545;XM_013079828.1
rna546;XM_005089234.2
rna547;XM_013079833.1
rna548;XM_005089238.2
rna549;XM_005089242.2
rna550;XM_005089241.2
rna551;XM_005089239.2
rna552;XM_005089240.2
rna553;XM_005089245.2
rna554;XM_005089246.2
rna555;XM_013079856.1
rna556;XM_005089247.2
rna557;XM_005089248.2
rna558;XM_005089250.2
rna559;XM_013079872.1
rna560;XM_013079885.1
rna561;XM_013079881.1
rna562;XM_013079877.1
rna563;XM_005089255.2
rna564;XM_005089253.2
rna565;XM_005089254.2
rna566;XM_005089252.2
rna567;XM_005089251.2
rna568;XM_005089258.1
rna570;XM_005089262.2
rna571;XM_013079945.1
rna573;XM_013079934.1
rna574;XM_005089264.2
rna575;XM_013079958.1
rna576;XM_005089265.2
rna577;XM_013079962.1
rna578;XM_013079968.1
rna579;XM_013079964.1
rna580;XM_005089267.2
rna581;XM_005089302.2
rna582;XM_013079988.1
rna583;XM_005089269.2
rna584;XM_013079999.1
rna585;XM_013080003.1
rna586;XM_013080011.1
rna587;XM_005089273.2
rna588;XM_005089274.2
rna589;XM_005089275.2
rna590;XM_005089276.2
rna591;XM_013080023.1
rna592;XM_005089305.2
rna593;XM_005089277.2
rna594;XM_005089278.2
rna595;XM_005089279.1
rna596;XM_013080040.1
rna597;XM_005089359.2
rna598;XM_013080107.1
rna599;XM_013080110.1
rna600;XM_005089308.2
rna601;XM_005089309.1
rna602;NM_001204678.1
rna603;XM_005089363.2
rna604;XM_005089364.2
rna605;XM_005089311.2
rna606;XM_005089310.2
rna607;XM_013080141.1
rna608;XM_013080436.1
rna609;XM_013080161.1
rna610;XM_013080172.1
rna611;XM_005089368.1
rna612;XM_005089369.2
rna613;XM_013080177.1
rna614;XM_013080182.1
rna615;XM_013080190.1
rna616;XM_005089371.1
rna617;XM_013080451.1
rna618;XM_013080195.1
rna619;XM_013080200.1
rna620;XM_013080456.1
rna621;XM_005089314.2
rna622;XM_013080212.1
rna623;XM_013080466.1
rna624;NM_001280823.1
rna625;XM_005089315.2
rna626;XM_013080221.1
rna627;XM_005089317.2
rna628;XM_005089318.2
rna629;XM_005089325.2
rna630;XM_005089326.2
rna631;XM_013080468.1
rna632;XM_005089329.2
rna633;XM_005089328.2
rna634;XM_013080264.1
rna635;XM_013080270.1
rna636;XM_005089376.2
rna637;XM_005089332.1
rna638;XM_005089333.2
rna639;XM_005089334.2
rna640;XM_005089335.2
rna641;XM_005089336.2
rna642;XM_005089341.2
rna643;XM_005089337.2
rna644;XM_005089338.2
rna645;XM_005089339.2
rna646;XM_013080316.1
rna647;XM_005089342.2
rna649;XM_005089343.2
rna650;XM_005089344.2
rna651;XM_005089345.2
rna652;XM_013080337.1
rna653;XM_005089377.2
rna654;XM_005089347.2
rna655;XM_005089348.1
rna656;XM_005089349.2
rna657;XM_013080359.1
rna658;XM_013080367.1
rna660;XM_005089354.2
rna662;XM_013080382.1
rna663;XM_013080508.1
rna664;XM_013080387.1
rna665;XM_005089381.1
rna666;XM_013080483.1
rna667;XM_013080393.1
rna668;XM_005089358.2
rna669;XM_005089357.2
rna670;XM_013080416.1
rna671;XM_013080413.1
rna672;XM_013080490.1
rna673;XM_013080408.1
rna674;XM_013080423.1
rna675;XM_013080427.1
rna677;XM_013080494.1
rna680;XM_005089388.2
rna681;XM_013081308.1
rna682;XM_013081315.1
rna683;XM_013080530.1
rna684;XM_005089392.2
rna685;XM_013080527.1
rna686;XM_013080542.1
rna687;XM_013080540.1
rna688;XM_013080547.1
rna689;XM_005089394.2
rna690;XM_005089396.2
rna691;XM_005089397.2
rna692;XM_005089398.2
rna693;XM_005089399.2
rna694;XM_005089402.2
rna695;XM_013080567.1
rna696;XM_005089400.2
rna697;XM_005089403.2
rna698;XM_005089404.2
rna699;XM_005089405.2
rna700;XM_013080610.1
rna701;XM_013080604.1
rna702;XM_013080598.1
rna703;XM_013080608.1
rna705;XM_005089406.2
rna706;XM_005089407.1
rna707;XM_005089408.2
rna708;XM_013081321.1
rna709;XM_005089409.2
rna710;XM_005089410.2
rna711;XM_013080649.1
rna712;XM_013081385.1
rna713;XM_005089413.2
rna714;XM_005089411.2
rna715;XM_005089412.2
rna716;XM_013080671.1
rna717;XM_005089414.2
rna718;XM_005089415.2
rna719;XM_005089545.2
rna720;XM_013081327.1
rna721;XM_005089418.2
rna722;XM_013080702.1
rna723;XM_013080687.1
rna724;XM_013081336.1
rna725;XM_005089419.2
rna726;XM_005089549.2
rna727;XM_005089421.2
rna728;XM_005089420.2
rna729;XM_005089422.2
rna730;XM_013080723.1
rna731;XM_005089423.2
rna732;XM_013080740.1
rna733;XM_005089425.2
rna734;XM_005089424.2
rna735;XM_005089426.2
rna736;XM_005089428.2
rna737;XM_013080764.1
rna738;XM_013081343.1
rna739;XM_013080770.1
rna740;XM_005089431.2
rna741;XM_005089432.2
rna742;XM_005089433.2
rna743;XM_005089437.2
rna744;XM_005089434.1
rna745;XM_013080810.1
rna746;XM_005089435.2
rna747;XM_013080794.1
rna748;XM_013080802.1
rna749;XM_005089439.2
rna750;XM_005089438.2
rna751;XM_013080820.1
rna752;XM_013080823.1
rna753;XM_013081352.1
rna754;XM_013080831.1
rna755;XM_005089442.2
rna756;XM_005089444.2
rna757;XM_005089443.2
rna758;XM_013080850.1
rna759;XM_013080859.1
rna760;XM_005089446.2
rna761;XM_005089447.2
rna762;XM_005089448.1
rna763;XM_005089449.2
rna764;XM_013080881.1
rna765;XM_013080887.1
rna766;XM_005089450.2
rna767;XM_013081395.1
rna768;XM_005089451.2
rna769;XM_005089453.2
rna770;XM_005089452.2
rna771;XM_005089454.2
rna772;XM_013080906.1
rna773;XM_005089458.2
rna774;XM_013080921.1
rna775;XM_013080923.1
rna776;XM_005089552.2
rna777;XM_005089459.2
rna778;XM_005089460.2
rna779;XM_005089462.2
rna780;XM_005089461.2
rna781;XM_013080961.1
rna782;XM_013080989.1
rna783;XM_005089491.2
rna784;XM_013080974.1
rna785;XM_005089480.2
rna786;XM_013081076.1
rna787;XM_013080977.1
rna788;XM_013081001.1
rna789;XM_005089481.2
rna790;XM_005089487.2
rna791;XM_013081050.1
rna792;XM_005089463.2
rna793;XM_005089489.2
rna794;XM_005089492.2
rna795;XM_005089477.2
rna796;XM_005089483.2
rna797;XM_005089485.2
rna798;XM_005089488.2
rna799;XM_005089490.2
rna800;XM_005089493.2
rna801;XM_005089482.2
rna802;XM_005089471.2
rna803;XM_013081083.1
rna804;XM_013081059.1
rna805;XM_005089466.2
rna806;XM_005089486.2
rna807;XM_005089484.2
rna808;XM_005089470.2
rna809;XM_005089473.2
rna810;XM_005089464.2
rna811;XM_005089472.2
rna812;XM_005089478.2
rna813;XM_005089468.2
rna814;XM_013080943.1
rna815;XM_005089476.2
rna816;XM_005089474.2
rna817;XM_013081042.1
rna818;XM_005089475.2
rna819;XM_013081089.1
rna820;XM_005089469.2
rna821;XM_013080969.1
rna822;XM_005089467.2
rna823;XM_005089494.2
rna824;XM_005089508.2
rna825;XM_013081124.1
rna826;XM_005089498.2
rna827;XM_005089495.2
rna828;XM_005089503.2
rna829;XM_005089505.2
rna830;XM_005089506.2
rna831;XM_005089497.2
rna832;XM_005089500.2
rna833;XM_005089502.2
rna834;XM_005089504.2
rna835;XM_005089496.2
rna836;XM_005089499.2
rna837;XM_005089501.2
rna838;XM_005089507.2
rna839;XM_005089509.2
rna840;XM_005089513.2
rna841;XM_005089512.2
rna842;XM_005089514.2
rna843;XM_005089511.2
rna844;XM_005089510.2
rna845;XM_013081097.1
rna846;XM_005089515.2
rna847;XM_013081144.1
rna848;XM_013081162.1
rna849;XM_013081132.1
rna852;XM_013081400.1
rna853;XM_005089516.2
rna855;XM_005089517.2
rna856;XM_013081359.1
rna857;XM_005089554.2
rna858;XM_013081191.1
rna859;XM_005089520.2
rna860;XM_013081196.1
rna861;XM_013081201.1
rna862;XM_005089522.2
rna863;XM_005089523.2
rna864;XM_013081363.1
rna865;XM_013081213.1
rna866;XM_005089524.2
rna867;XM_005089525.2
rna868;NM_001204701.1
rna869;XM_005089526.2
rna870;XM_013081230.1
rna871;XM_013081236.1
rna872;XM_013081255.1
rna873;XM_005089528.2
rna874;XM_005089527.2
rna875;XM_005089530.2
rna876;XM_013081265.1
rna877;XM_005089531.2
rna878;XM_005089535.2
rna879;XM_005089534.2
rna880;XM_005089537.2
rna881;XM_005089533.2
rna882;XM_005089532.2
rna883;XM_005089538.2
rna884;XM_005089539.2
rna885;XM_005089541.2
rna886;XM_005089540.2
rna887;XM_013081303.1
rna889;XM_013081370.1
rna890;XM_005089612.2
rna891;XM_013081785.1
rna892;XM_005089559.2
rna893;XM_005089560.2
rna894;XM_005089561.2
rna895;XM_005089562.2
rna896;XM_005089614.2
rna898;XM_013081791.1
rna899;XM_005089563.2
rna900;XM_005089565.2
rna901;XM_005089567.2
rna902;XM_005089566.2
rna903;XM_005089569.2
rna904;XM_005089568.2
rna905;XM_005089617.1
rna906;XM_013081800.1
rna907;XM_013081469.1
rna908;XM_005089570.2
rna909;XM_013081476.1
rna910;XM_005089572.2
rna911;XM_013081483.1
rna912;XM_013081490.1
rna914;XM_013081495.1
rna915;NM_001204632.1
rna916;XM_013081499.1
rna917;XM_005089573.2
rna918;XM_013081502.1
rna919;XM_005089574.2
rna920;XM_005089575.2
rna921;XM_005089622.2
rna922;XM_013081805.1
rna923;XM_013081518.1
rna924;XM_013081521.1
rna925;XM_013081815.1
rna929;XM_013081559.1
rna930;XM_013081540.1
rna931;XM_013081554.1
rna932;XM_013081526.1
rna933;XM_013081528.1
rna934;XM_013081557.1
rna935;XM_013081535.1
rna936;XM_013081551.1
rna937;XM_013081530.1
rna938;XM_013081546.1
rna939;XM_013081573.1
rna940;XM_005089578.2
rna941;XM_013081587.1
rna942;XM_005089577.2
rna943;XM_005089579.2
rna944;XM_005089580.1
rna945;XM_005089581.2
rna946;XM_005089582.2
rna947;XM_005089583.2
rna948;XM_005089584.2
rna949;XM_005089628.2
rna950;XM_005089585.2
rna951;XM_005089586.2
rna952;XM_013081642.1
rna953;XM_013081826.1
rna954;XM_005089588.2
rna956;XM_005089629.1
rna957;XM_013081655.1
rna958;XM_005089589.2
rna959;XM_005089590.2
rna960;XM_005089592.2
rna961;XM_005089593.2
rna962;XM_005089594.2
rna963;XM_005089595.2
rna964;XM_013081699.1
rna965;XM_005089597.2
rna966;XM_005089596.2
rna967;XM_013081865.1
rna968;XM_013081872.1
rna969;XM_005089598.2
rna970;XM_013081704.1
rna971;XM_013081716.1
rna972;XM_013081712.1
rna973;XM_013081707.1
rna974;XM_005089634.2
rna975;XM_013081836.1
rna976;XM_005089599.2
rna977;XM_013081742.1
rna978;XM_005089601.2
rna979;XM_005089603.2
rna980;XM_005089600.2
rna981;XM_005089602.2
rna982;XM_005089604.2
rna983;XM_005089605.2
rna984;XM_005089637.2
rna985;XM_005089606.2
rna986;XM_013081755.1
rna987;XM_005089607.2
rna988;XM_005089639.2
rna989;XM_005089609.2
rna990;XM_005089610.2
rna991;XM_013081781.1
rna992;XM_013082407.1
rna993;XM_013081891.1
rna994;XM_005089719.2
rna995;XM_013081918.1
rna996;XM_005089641.2
rna997;XM_005089640.2
rna998;XM_005089642.2
rna999;XM_005089644.1
rna1000;XM_005089645.2
rna1001;XM_005089643.2
rna1002;XM_013081949.1
rna1003;XM_013081964.1
rna1004;XM_013081973.1
rna1005;XM_013081951.1
rna1006;XM_013081954.1
rna1007;XM_013081976.1
rna1008;XM_013081956.1
rna1009;XM_013081926.1
rna1010;XM_013081979.1
rna1011;XM_013081932.1
rna1012;XM_013081940.1
rna1013;XM_013081946.1
rna1014;XM_013081937.1
rna1015;XM_013081943.1
rna1016;XM_013081947.1
rna1017;XM_005089661.2
rna1018;XM_005089662.2
rna1019;XM_013082470.1
rna1020;XM_005089663.2
rna1021;XM_013081997.1
rna1022;XM_013082004.1
rna1023;XM_005089665.2
rna1024;XM_013082011.1
rna1025;XM_005089668.2
rna1026;XM_013082014.1
rna1027;XM_005089667.2
rna1028;XM_005089669.2
rna1029;XM_013082025.1
rna1030;XM_005089670.2
rna1031;XM_013082038.1
rna1032;XM_005089671.2
rna1033;XM_005089672.2
rna1034;XM_005089674.2
rna1035;XM_005089673.2
rna1036;XM_013082070.1
rna1037;XM_005089675.2
rna1038;XM_005089676.2
rna1039;XM_005089677.2
rna1040;XM_005089720.1
rna1041;XM_005089721.1
rna1042;XM_005089678.2
rna1043;XM_013082483.1
rna1045;XM_013082491.1
rna1046;XM_005089679.2
rna1047;XM_005089680.2
rna1048;XM_013082426.1
rna1049;XM_005089681.2
rna1050;XM_005089684.2
rna1051;XM_013082130.1
rna1052;XM_013082124.1
rna1053;XM_013082126.1
rna1054;XM_013082120.1
rna1055;XM_013082117.1
rna1056;XM_013082111.1
rna1057;XM_013082114.1
rna1058;XM_013082137.1
rna1061;XM_013082430.1
rna1062;XM_005089685.2
rna1063;XM_005089688.2
rna1064;XM_013082174.1
rna1065;XM_013082151.1
rna1066;XM_013082166.1
rna1067;XM_005089687.2
rna1068;XM_005089690.2
rna1069;XM_013082181.1
rna1070;XM_005089727.2
rna1071;XM_005089728.1
rna1072;XM_013082195.1
rna1073;XM_005089691.2
rna1074;XM_013082200.1
rna1075;XM_013082192.1
rna1076;XM_005089692.2
rna1077;XM_013082214.1
rna1078;XM_013082438.1
rna1079;XM_013082219.1
rna1080;XM_005089693.2
rna1081;XM_005089694.2
rna1082;XM_005089730.1
rna1083;XM_005089696.2
rna1084;XM_005089695.2
rna1085;XM_005089698.2
rna1086;XM_005089699.1
rna1087;XM_005089697.2
rna1088;XM_005089700.2
rna1089;XM_005089702.2
rna1090;XM_005089701.2
rna1091;XM_005089703.2
rna1092;XM_013082267.1
rna1093;XM_005089704.2
rna1094;XM_005089706.2
rna1095;XM_005089707.2
rna1096;XM_013082302.1
rna1097;XM_013082305.1
rna1098;XM_013082296.1
rna1099;XM_013082288.1
rna1100;XM_013082294.1
rna1101;XM_013082310.1
rna1102;XM_013082313.1
rna1103;XM_013082317.1
rna1104;XM_005089709.2
rna1105;XM_013082335.1
rna1106;XM_005089710.2
rna1107;XM_013082447.1
rna1108;XM_013082338.1
rna1110;XM_013082347.1
